Mean: 0	Var: 0	Max: 0	Min: 0
Mean: -42.1	Var: 79.8101	Max: -20	Min: -68
Mean: -42.82	Var: 85.1876	Max: -20	Min: -62
Mean: -43.14	Var: 85.8004	Max: -20	Min: -62
Mean: -43.92	Var: 90.8338	Max: -20	Min: -59
Mean: -43.22	Var: 72.2915	Max: -20	Min: -66
Mean: -43.06	Var: 66.4563	Max: -20	Min: -60
Mean: -44.62	Var: 76.1557	Max: -20	Min: -62
Mean: -43.92	Var: 66.5938	Max: -20	Min: -61
Mean: -43.9	Var: 62.0899	Max: -20	Min: -61
Mean: -43.28	Var: 68.5617	Max: -20	Min: -61
Mean: -43.82	Var: 68.7476	Max: -20	Min: -63
Mean: -43.62	Var: 81.8357	Max: -20	Min: -65
Mean: -43.32	Var: 78.4977	Max: -20	Min: -60
Mean: -43.4	Var: 76.2798	Max: -20	Min: -60
Mean: -44.58	Var: 77.3634	Max: -20	Min: -62
Mean: -43.34	Var: 67.2644	Max: -20	Min: -61
Mean: -44.28	Var: 76.8817	Max: -20	Min: -60
Mean: -43.74	Var: 60.9523	Max: -20	Min: -59
Mean: -42.54	Var: 61.0883	Max: -20	Min: -56
Mean: -43.26	Var: 80.2325	Max: -20	Min: -60
Mean: -43.16	Var: 64.4544	Max: -20	Min: -61
Mean: -43.58	Var: 73.1634	Max: -20	Min: -61
Mean: -43.24	Var: 54.1422	Max: -20	Min: -57
Mean: -44.16	Var: 69.5744	Max: -20	Min: -60
Mean: -44.58	Var: 76.6834	Max: -20	Min: -64
Mean: -44.6	Var: 73.6401	Max: -20	Min: -63
Mean: -43.64	Var: 70.2704	Max: -20	Min: -60
Mean: -42.92	Var: 80.7138	Max: -20	Min: -57
Mean: -43.68	Var: 110.178	Max: -20	Min: -71
Mean: -42.58	Var: 92.0835	Max: -20	Min: -62
Mean: -43.34	Var: 110.304	Max: -20	Min: -66
Mean: -42.62	Var: 88.5956	Max: -20	Min: -61
Mean: -42.66	Var: 77.7444	Max: -20	Min: -61
Mean: -42.86	Var: 85.1604	Max: -20	Min: -64
Mean: -43.74	Var: 94.9123	Max: -20	Min: -70
Mean: -43.16	Var: 77.3744	Max: -20	Min: -59
Mean: -44.2	Var: 81.64	Max: -20	Min: -62
Mean: -43.58	Var: 71.4435	Max: -20	Min: -59
Mean: -44.1	Var: 82.8102	Max: -20	Min: -67
Mean: -44.54	Var: 83.6484	Max: -20	Min: -68
Mean: -42.98	Var: 64.3796	Max: -20	Min: -61
Mean: -44.58	Var: 85.5634	Max: -20	Min: -67
Mean: -43.84	Var: 59.0944	Max: -20	Min: -61
Mean: -44.5	Var: 70.61	Max: -20	Min: -60
Mean: -43.12	Var: 65.3857	Max: -20	Min: -67
Mean: -44.06	Var: 76.4163	Max: -20	Min: -65
Mean: -43.04	Var: 59.1184	Max: -20	Min: -60
Mean: -43.72	Var: 68.1615	Max: -20	Min: -61
Mean: -43.4	Var: 61.3598	Max: -20	Min: -57
Mean: -43.48	Var: 73.9296	Max: -20	Min: -70
Mean: -44.34	Var: 83.0644	Max: -20	Min: -66
Mean: -43.6	Var: 67.4802	Max: -20	Min: -58
Mean: -43.64	Var: 63.7104	Max: -20	Min: -58
Mean: -44.54	Var: 78.3284	Max: -20	Min: -63
Mean: -44.02	Var: 62.4595	Max: -20	Min: -60
Mean: -44.24	Var: 73.1423	Max: -20	Min: -63
Mean: -44.12	Var: 68.4657	Max: -20	Min: -62
Mean: -42.84	Var: 54.0144	Max: -20	Min: -60
Mean: -42.88	Var: 59.7455	Max: -20	Min: -57
Mean: -43.52	Var: 75.8495	Max: -20	Min: -64
Mean: -42.36	Var: 60.6304	Max: -20	Min: -56
Mean: -43.04	Var: 78.8383	Max: -20	Min: -60
Mean: -44.28	Var: 88.1217	Max: -20	Min: -66
Mean: -43.62	Var: 78.5157	Max: -20	Min: -59
Mean: -43.46	Var: 77.2885	Max: -20	Min: -61
Mean: -43.12	Var: 65.2656	Max: -20	Min: -60
Mean: -43.36	Var: 71.8704	Max: -20	Min: -63
Mean: -42.86	Var: 69.9604	Max: -20	Min: -62
Mean: -42.72	Var: 72.4815	Max: -20	Min: -60
Mean: -43.38	Var: 85.0355	Max: -20	Min: -62
Mean: -43.52	Var: 86.9695	Max: -20	Min: -70
Mean: -43.46	Var: 73.3685	Max: -20	Min: -59
Mean: -42.34	Var: 80.5043	Max: -20	Min: -71
Mean: -43.5	Var: 87.85	Max: -20	Min: -60
Mean: -42.54	Var: 69.1283	Max: -20	Min: -58
Mean: -43.82	Var: 74.0276	Max: -20	Min: -58
Mean: -44.08	Var: 101.273	Max: -20	Min: -68
Mean: -43.08	Var: 75.8334	Max: -20	Min: -63
Mean: -44.14	Var: 89.5204	Max: -20	Min: -62
Mean: -43.48	Var: 93.0896	Max: -20	Min: -68
Mean: -43.94	Var: 83.0565	Max: -20	Min: -60
Mean: -43.82	Var: 76.3076	Max: -20	Min: -60
Mean: -42.96	Var: 75.5985	Max: -20	Min: -58
Mean: -42.8	Var: 65.84	Max: -20	Min: -58
Mean: -43.4	Var: 75.1998	Max: -20	Min: -63
Mean: -44.22	Var: 89.1716	Max: -20	Min: -63
Mean: -44.08	Var: 76.4335	Max: -20	Min: -62
Mean: -44.52	Var: 89.9296	Max: -20	Min: -66
Mean: -42.74	Var: 66.8322	Max: -20	Min: -58
Mean: -43.4	Var: 70.8398	Max: -20	Min: -59
Mean: -44.38	Var: 87.5955	Max: -20	Min: -63
Mean: -43.46	Var: 70.9685	Max: -20	Min: -64
Mean: -43.36	Var: 62.3504	Max: -20	Min: -59
Mean: -43.32	Var: 83.6177	Max: -20	Min: -62
Mean: -43.26	Var: 75.4325	Max: -20	Min: -61
Mean: -42.78	Var: 66.9717	Max: -20	Min: -64
Mean: -42.86	Var: 68.4804	Max: -20	Min: -58
Mean: -42.78	Var: 70.2117	Max: -20	Min: -65
Mean: -44.16	Var: 75.6544	Max: -20	Min: -58
Mean: -44.36	Var: 75.0303	Max: -20	Min: -63
Mean: -43.46	Var: 74.8485	Max: -20	Min: -66
Mean: -45.24	Var: 99.7823	Max: -20	Min: -66
Mean: -43.08	Var: 70.3934	Max: -20	Min: -64
Mean: -45.2	Var: 79.12	Max: -20	Min: -61
Mean: -43.88	Var: 74.3455	Max: -20	Min: -62
Mean: -44.16	Var: 71.8944	Max: -20	Min: -58
Mean: -44.3	Var: 75.61	Max: -20	Min: -64
Mean: -44	Var: 67.64	Max: -20	Min: -62
Mean: -43.78	Var: 63.6918	Max: -20	Min: -60
Mean: -43.4	Var: 49.0398	Max: -20	Min: -54
Mean: -45.64	Var: 84.5105	Max: -20	Min: -64
Mean: -44.04	Var: 61.3583	Max: -20	Min: -60
Mean: -43.44	Var: 65.6066	Max: -20	Min: -59
Mean: -44.26	Var: 72.8725	Max: -20	Min: -58
Mean: -44.12	Var: 85.9457	Max: -20	Min: -65
Mean: -44.06	Var: 72.5363	Max: -20	Min: -61
Mean: -44.66	Var: 91.3444	Max: -20	Min: -68
Mean: -43.38	Var: 70.7555	Max: -20	Min: -63
Mean: -43.66	Var: 73.3844	Max: -20	Min: -66
Mean: -44.14	Var: 75.0404	Max: -20	Min: -58
Mean: -43.32	Var: 63.2577	Max: -20	Min: -54
Mean: -43.56	Var: 80.7262	Max: -20	Min: -62
Mean: -42.68	Var: 71.8576	Max: -20	Min: -55
Mean: -42.88	Var: 79.7855	Max: -20	Min: -60
Mean: -42.1	Var: 56.5701	Max: -20	Min: -56
Mean: -44.82	Var: 113.908	Max: -20	Min: -71
Mean: -43.54	Var: 81.5283	Max: -20	Min: -62
